Year,College,Sport,Gender,Expense ($)
2017,Siena,Baseball,Mens,611714
2016,Siena,Baseball,Mens,612210
2015,Siena,Baseball,Mens,1317174
2014,Siena,Baseball,Mens,685460
2013,Siena,Baseball,Mens,671252
2012,Siena,Baseball,Mens,658656
2011,Siena,Baseball,Mens,689064
2010,Siena,Baseball,Mens,652976
2009,Siena,Baseball,Mens,644556
2008,Siena,Baseball,Mens,498509
2007,Siena,Baseball,Mens,485159
2006,Siena,Baseball,Mens,594576
2005,Siena,Baseball,Mens,480125
2017,Siena,Basketball,Mens,3579394
2016,Siena,Basketball,Mens,3102278
2015,Siena,Basketball,Mens,3083128
2014,Siena,Basketball,Mens,2516769
2013,Siena,Basketball,Mens,2802018
2012,Siena,Basketball,Mens,2668068
2011,Siena,Basketball,Mens,2293234
2010,Siena,Basketball,Mens,2211650
2009,Siena,Basketball,Mens,2275880
2008,Siena,Basketball,Mens,1835834
2007,Siena,Basketball,Mens,1671304
2006,Siena,Basketball,Mens,1289662
2005,Siena,Basketball,Mens,1408797
2017,Siena,Basketball,Womens,1839383
2016,Siena,Basketball,Womens,1726019
2015,Siena,Basketball,Womens,1544049
2014,Siena,Basketball,Womens,1502855
2013,Siena,Basketball,Womens,1546617
2012,Siena,Basketball,Womens,1485806
2011,Siena,Basketball,Womens,1709080
2010,Siena,Basketball,Womens,1359730
2009,Siena,Basketball,Womens,1262826
2008,Siena,Basketball,Womens,1174341
2007,Siena,Basketball,Womens,1078909
2006,Siena,Basketball,Womens,1123616
2005,Siena,Basketball,Womens,997063
2017,Siena,Golf,Mens,228139
2016,Siena,Golf,Mens,175313
2015,Siena,Golf,Mens,154226
2014,Siena,Golf,Mens,136723
2013,Siena,Golf,Mens,182513
2012,Siena,Golf,Mens,116242
2011,Siena,Golf,Mens,142919
2010,Siena,Golf,Mens,155769
2009,Siena,Golf,Mens,121664
2008,Siena,Golf,Mens,101746
2007,Siena,Golf,Mens,129898
2006,Siena,Golf,Mens,119361
2005,Siena,Golf,Mens,103384
2017,Siena,Golf,Womens,3579394
2016,Siena,Golf,Womens,3102278
2015,Siena,Golf,Womens,3083128
2014,Siena,Golf,Womens,2516769
2013,Siena,Golf,Womens,2802018
2012,Siena,Golf,Womens,2668068
2011,Siena,Golf,Womens,2293234
2010,Siena,Golf,Womens,2211650
2009,Siena,Golf,Womens,2275880
2008,Siena,Golf,Womens,1835834
2007,Siena,Golf,Womens,1671304
2006,Siena,Golf,Womens,1289662
2005,Siena,Golf,Womens,1408797
2017,Siena,Lacrosse,Mens,1000196
2016,Siena,Lacrosse,Mens,818004
2015,Siena,Lacrosse,Mens,820868
2014,Siena,Lacrosse,Mens,747151
2013,Siena,Lacrosse,Mens,636031
2012,Siena,Lacrosse,Mens,673013
2011,Siena,Lacrosse,Mens,539017
2010,Siena,Lacrosse,Mens,510325
2009,Siena,Lacrosse,Mens,422173
2008,Siena,Lacrosse,Mens,202477
2007,Siena,Lacrosse,Mens,237736
2006,Siena,Lacrosse,Mens,207261
2005,Siena,Lacrosse,Mens,178079
2017,Siena,Lacrosse,Womens,684465
2016,Siena,Lacrosse,Womens,548234
2015,Siena,Lacrosse,Womens,491108
2014,Siena,Lacrosse,Womens,386459
2013,Siena,Lacrosse,Womens,375286
2012,Siena,Lacrosse,Womens,318743
2011,Siena,Lacrosse,Womens,329738
2010,Siena,Lacrosse,Womens,236348
2009,Siena,Lacrosse,Womens,225384
2008,Siena,Lacrosse,Womens,166648
2007,Siena,Lacrosse,Womens,149756
2006,Siena,Lacrosse,Womens,110985
2005,Siena,Lacrosse,Womens,95341
2017,Siena,Soccer,Mens,721411
2016,Siena,Soccer,Mens,671584
2015,Siena,Soccer,Mens,623458
2014,Siena,Soccer,Mens,637817
2013,Siena,Soccer,Mens,637626
2012,Siena,Soccer,Mens,662203
2011,Siena,Soccer,Mens,610631
2010,Siena,Soccer,Mens,645798
2009,Siena,Soccer,Mens,516503
2008,Siena,Soccer,Mens,467991
2007,Siena,Soccer,Mens,406846
2006,Siena,Soccer,Mens,422460
2005,Siena,Soccer,Mens,360301
2017,Siena,Soccer,Womens,810478
2016,Siena,Soccer,Womens,740021
2015,Siena,Soccer,Womens,761705
2014,Siena,Soccer,Womens,721574
2013,Siena,Soccer,Womens,625523
2012,Siena,Soccer,Womens,563390
2011,Siena,Soccer,Womens,594110
2010,Siena,Soccer,Womens,596838
2009,Siena,Soccer,Womens,489831
2008,Siena,Soccer,Womens,456543
2007,Siena,Soccer,Womens,432772
2006,Siena,Soccer,Womens,437996
2005,Siena,Soccer,Womens,362751
2017,Siena,Softball,Womens,640955
2016,Siena,Softball,Womens,591089
2015,Siena,Softball,Womens,519014
2014,Siena,Softball,Womens,539284
2013,Siena,Softball,Womens,472554
2012,Siena,Softball,Womens,529800
2011,Siena,Softball,Womens,534261
2010,Siena,Softball,Womens,481305
2009,Siena,Softball,Womens,445308
2008,Siena,Softball,Womens,439555
2007,Siena,Softball,Womens,370741
2006,Siena,Softball,Womens,395825
2005,Siena,Softball,Womens,410028
2017,Siena,Tennis,Mens,191543
2016,Siena,Tennis,Mens,137763
2015,Siena,Tennis,Mens,71617
2014,Siena,Tennis,Mens,117357
2013,Siena,Tennis,Mens,110015
2012,Siena,Tennis,Mens,123707
2011,Siena,Tennis,Mens,120483
2010,Siena,Tennis,Mens,78512
2009,Siena,Tennis,Mens,77557
2008,Siena,Tennis,Mens,76149
2007,Siena,Tennis,Mens,83636
2006,Siena,Tennis,Mens,69015
2005,Siena,Tennis,Mens,39450
2017,Siena,Tennis,Womens,219419
2016,Siena,Tennis,Womens,218245
2015,Siena,Tennis,Womens,173572
2014,Siena,Tennis,Womens,170722
2013,Siena,Tennis,Womens,157429
2012,Siena,Tennis,Womens,150757
2011,Siena,Tennis,Womens,146291
2010,Siena,Tennis,Womens,131727
2009,Siena,Tennis,Womens,118330
2008,Siena,Tennis,Womens,102616
2007,Siena,Tennis,Womens,119271
2006,Siena,Tennis,Womens,120736
2005,Siena,Tennis,Womens,69438
2017,Siena,XC,Mens,140470
2016,Siena,XC,Mens,169312
2015,Siena,XC,Mens,214428
2014,Siena,XC,Mens,127715
2013,Siena,XC,Mens,130462
2012,Siena,XC,Mens,103172
2011,Siena,XC,Mens,91547
2010,Siena,XC,Mens,79423
2009,Siena,XC,Mens,74673
2008,Siena,XC,Mens,88447
2007,Siena,XC,Mens,58857
2006,Siena,XC,Mens,53572
2005,Siena,XC,Mens,50931
2017,Siena,XC,Womens,96862
2016,Siena,XC,Womens,90958
2015,Siena,XC,Womens,137380
2014,Siena,XC,Womens,80015
2013,Siena,XC,Womens,84269
2012,Siena,XC,Womens,91763
2011,Siena,XC,Womens,54874
2010,Siena,XC,Womens,74203
2009,Siena,XC,Womens,88747
2008,Siena,XC,Womens,69494
2007,Siena,XC,Womens,58857
2006,Siena,XC,Womens,55758
2005,Siena,XC,Womens,79662
2017,Siena,Volleyball,Womens,863222
2016,Siena,Volleyball,Womens,833437
2015,Siena,Volleyball,Womens,800323
2014,Siena,Volleyball,Womens,789363
2013,Siena,Volleyball,Womens,704055
2012,Siena,Volleyball,Womens,701124
2011,Siena,Volleyball,Womens,636945
2010,Siena,Volleyball,Womens,639505
2009,Siena,Volleyball,Womens,565536
2008,Siena,Volleyball,Womens,546604
2007,Siena,Volleyball,Womens,505350
2006,Siena,Volleyball,Womens,484478
2005,Siena,Volleyball,Womens,409831
2017,Siena,Water Polo,Womens,155566
2016,Siena,Water Polo,Womens,183444
2015,Siena,Water Polo,Womens,171981
2014,Siena,Water Polo,Womens,152848
2013,Siena,Water Polo,Womens,161014
2012,Siena,Water Polo,Womens,176161
2011,Siena,Water Polo,Womens,181374
2010,Siena,Water Polo,Womens,146234
2009,Siena,Water Polo,Womens,135558
2008,Siena,Water Polo,Womens,120070
2007,Siena,Water Polo,Womens,110832
2006,Siena,Water Polo,Womens,79310
2005,Siena,Water Polo,Womens,35723
2017,Marist,Baseball,Mens,882159
2016,Marist,Baseball,Mens,867934
2015,Marist,Baseball,Mens,753548
2014,Marist,Baseball,Mens,733704
2013,Marist,Baseball,Mens,703772
2012,Marist,Baseball,Mens,627006
2011,Marist,Baseball,Mens,577930
2010,Marist,Baseball,Mens,553159
2009,Marist,Baseball,Mens,549924
2008,Marist,Baseball,Mens,460852
2007,Marist,Baseball,Mens,434413
2006,Marist,Baseball,Mens,403080
2005,Marist,Baseball,Mens,411351
2017,Marist,Basketball,Mens,2196095
2016,Marist,Basketball,Mens,1803822
2015,Marist,Basketball,Mens,1865144
2014,Marist,Basketball,Mens,1818576
2013,Marist,Basketball,Mens,1916865
2012,Marist,Basketball,Mens,1757998
2011,Marist,Basketball,Mens,1523137
2010,Marist,Basketball,Mens,1457574
2009,Marist,Basketball,Mens,1472319
2008,Marist,Basketball,Mens,1376465
2007,Marist,Basketball,Mens,1229400
2006,Marist,Basketball,Mens,1047982
2005,Marist,Basketball,Mens,1022916
2017,Marist,Basketball,Womens,1767994
2016,Marist,Basketball,Womens,1648694
2015,Marist,Basketball,Womens,1552269
2014,Marist,Basketball,Womens,1547057
2013,Marist,Basketball,Womens,1529320
2012,Marist,Basketball,Womens,1571841
2011,Marist,Basketball,Womens,1435614
2010,Marist,Basketball,Womens,1443617
2009,Marist,Basketball,Womens,1380054
2008,Marist,Basketball,Womens,1098350
2007,Marist,Basketball,Womens,990842
2006,Marist,Basketball,Womens,884894
2005,Marist,Basketball,Womens,921723
2017,Marist,Football,Mens,1381490
2016,Marist,Football,Mens,1281009
2015,Marist,Football,Mens,1186017
2014,Marist,Football,Mens,1033944
2013,Marist,Football,Mens,1033928
2012,Marist,Football,Mens,968943
2011,Marist,Football,Mens,870416
2010,Marist,Football,Mens,836740
2009,Marist,Football,Mens,760699
2008,Marist,Football,Mens,560376
2007,Marist,Football,Mens,511305
2006,Marist,Football,Mens,456575
2005,Marist,Football,Mens,390724
2017,Marist,S + D,Womens,358864
2016,Marist,S + D,Womens,358682
2015,Marist,S + D,Womens,361732
2014,Marist,S + D,Womens,335380
2013,Marist,S + D,Womens,321087
2012,Marist,S + D,Womens,284537
2011,Marist,S + D,Womens,271841
2010,Marist,S + D,Womens,264737
2009,Marist,S + D,Womens,264987
2008,Marist,S + D,Womens,239510
2007,Marist,S + D,Womens,234271
2006,Marist,S + D,Womens,231453
2005,Marist,S + D,Womens,213858
2017,Marist,Lacrosse,Mens,959007
2016,Marist,Lacrosse,Mens,898942
2015,Marist,Lacrosse,Mens,726460
2014,Marist,Lacrosse,Mens,616421
2013,Marist,Lacrosse,Mens,513919
2012,Marist,Lacrosse,Mens,431359
2011,Marist,Lacrosse,Mens,401082
2010,Marist,Lacrosse,Mens,428729
2009,Marist,Lacrosse,Mens,258534
2008,Marist,Lacrosse,Mens,176646
2007,Marist,Lacrosse,Mens,169176
2006,Marist,Lacrosse,Mens,213300
2005,Marist,Lacrosse,Mens,165480
2017,Marist,Lacrosse,Womens,666845
2016,Marist,Lacrosse,Womens,571658
2015,Marist,Lacrosse,Womens,493640
2014,Marist,Lacrosse,Womens,512619
2013,Marist,Lacrosse,Womens,425490
2012,Marist,Lacrosse,Womens,359966
2011,Marist,Lacrosse,Womens,333949
2010,Marist,Lacrosse,Womens,245865
2009,Marist,Lacrosse,Womens,244517
2008,Marist,Lacrosse,Womens,215738
2007,Marist,Lacrosse,Womens,208207
2006,Marist,Lacrosse,Womens,195528
2005,Marist,Lacrosse,Womens,204122
2017,Marist,Soccer,Mens,632578
2016,Marist,Soccer,Mens,617437
2015,Marist,Soccer,Mens,631664
2014,Marist,Soccer,Mens,536165
2013,Marist,Soccer,Mens,525467
2012,Marist,Soccer,Mens,507086
2011,Marist,Soccer,Mens,481201
2010,Marist,Soccer,Mens,450452
2009,Marist,Soccer,Mens,402318
2008,Marist,Soccer,Mens,343059
2007,Marist,Soccer,Mens,299901
2006,Marist,Soccer,Mens,301641
2005,Marist,Soccer,Mens,287042
2017,Marist,Soccer,Womens,633863
2016,Marist,Soccer,Womens,596253
2015,Marist,Soccer,Womens,560246
2014,Marist,Soccer,Womens,530022
2013,Marist,Soccer,Womens,512856
2012,Marist,Soccer,Womens,486249
2011,Marist,Soccer,Womens,484247
2010,Marist,Soccer,Womens,441234
2009,Marist,Soccer,Womens,414591
2008,Marist,Soccer,Womens,343796
2007,Marist,Soccer,Womens,338144
2006,Marist,Soccer,Womens,337853
2005,Marist,Soccer,Womens,310022
2017,Marist,Softball,Womens,584920
2016,Marist,Softball,Womens,546219
2015,Marist,Softball,Womens,566801
2014,Marist,Softball,Womens,487474
2013,Marist,Softball,Womens,484421
2012,Marist,Softball,Womens,450876
2011,Marist,Softball,Womens,412275
2010,Marist,Softball,Womens,388492
2009,Marist,Softball,Womens,356552
2008,Marist,Softball,Womens,324952
2007,Marist,Softball,Womens,283982
2006,Marist,Softball,Womens,248914
2005,Marist,Softball,Womens,180526
2017,Marist,Tennis,Mens,209042
2016,Marist,Tennis,Mens,215644
2015,Marist,Tennis,Mens,163317
2014,Marist,Tennis,Mens,161503
2013,Marist,Tennis,Mens,178005
2012,Marist,Tennis,Mens,177191
2011,Marist,Tennis,Mens,141833
2010,Marist,Tennis,Mens,166792
2009,Marist,Tennis,Mens,155131
2008,Marist,Tennis,Mens,123767
2007,Marist,Tennis,Mens,115521
2006,Marist,Tennis,Mens,107475
2005,Marist,Tennis,Mens,90368
2017,Marist,Tennis,Womens,162069
2016,Marist,Tennis,Womens,172377
2015,Marist,Tennis,Womens,163637
2014,Marist,Tennis,Womens,147657
2013,Marist,Tennis,Womens,119835
2012,Marist,Tennis,Womens,159881
2011,Marist,Tennis,Womens,116881
2010,Marist,Tennis,Womens,136301
2009,Marist,Tennis,Womens,123308
2008,Marist,Tennis,Womens,114527
2007,Marist,Tennis,Womens,114598
2006,Marist,Tennis,Womens,93272
2005,Marist,Tennis,Womens,87453
2017,Marist,XC + TF,Mens,286536
2016,Marist,XC + TF,Mens,321889
2015,Marist,XC + TF,Mens,253812
2014,Marist,XC + TF,Mens,231336
2013,Marist,XC + TF,Mens,243532
2012,Marist,XC + TF,Mens,237013
2011,Marist,XC + TF,Mens,194692
2010,Marist,XC + TF,Mens,260547
2009,Marist,XC + TF,Mens,225722
2008,Marist,XC + TF,Mens,139065
2007,Marist,XC + TF,Mens,142584
2006,Marist,XC + TF,Mens,138640
2005,Marist,XC + TF,Mens,139175
2017,Marist,XC + TF,Womens,463500
2016,Marist,XC + TF,Womens,456958
2015,Marist,XC + TF,Womens,425546
2014,Marist,XC + TF,Womens,400503
2013,Marist,XC + TF,Womens,344342
2012,Marist,XC + TF,Womens,324407
2011,Marist,XC + TF,Womens,323425
2010,Marist,XC + TF,Womens,282486
2009,Marist,XC + TF,Womens,262652
2008,Marist,XC + TF,Womens,198349
2007,Marist,XC + TF,Womens,201919
2006,Marist,XC + TF,Womens,195832
2005,Marist,XC + TF,Womens,188248
2017,Marist,Volleyball,Womens,427522
2016,Marist,Volleyball,Womens,431760
2015,Marist,Volleyball,Womens,473556
2014,Marist,Volleyball,Womens,440731
2013,Marist,Volleyball,Womens,445885
2012,Marist,Volleyball,Womens,387408
2011,Marist,Volleyball,Womens,373986
2010,Marist,Volleyball,Womens,381346
2009,Marist,Volleyball,Womens,338687
2008,Marist,Volleyball,Womens,249048
2007,Marist,Volleyball,Womens,260255
2006,Marist,Volleyball,Womens,202910
2005,Marist,Volleyball,Womens,214463
2017,Marist,Water Polo,Womens,470068
2016,Marist,Water Polo,Womens,407352
2015,Marist,Water Polo,Womens,357611
2014,Marist,Water Polo,Womens,345254
2013,Marist,Water Polo,Womens,300891
2012,Marist,Water Polo,Womens,287839
2011,Marist,Water Polo,Womens,253127
2010,Marist,Water Polo,Womens,243959
2009,Marist,Water Polo,Womens,209835
2008,Marist,Water Polo,Womens,207652
2007,Marist,Water Polo,Womens,199390
2006,Marist,Water Polo,Womens,140674
2005,Marist,Water Polo,Womens,110573
2017,Marist,S + D,Mens,422021
2016,Marist,S + D,Mens,378217
2015,Marist,S + D,Mens,373096
2014,Marist,S + D,Mens,310356
2013,Marist,S + D,Mens,341266
2012,Marist,S + D,Mens,296854
2011,Marist,S + D,Mens,287200
2010,Marist,S + D,Mens,263205
2009,Marist,S + D,Mens,265835
2008,Marist,S + D,Mens,249546
2007,Marist,S + D,Mens,220793
2006,Marist,S + D,Mens,235670
2005,Marist,S + D,Mens,228772
2017,Manhattan,Baseball,Mens,1009856
2016,Manhattan,Baseball,Mens,930738
2015,Manhattan,Baseball,Mens,898809
2014,Manhattan,Baseball,Mens,713302
2013,Manhattan,Baseball,Mens,663647
2012,Manhattan,Baseball,Mens,604913
2011,Manhattan,Baseball,Mens,616936
2010,Manhattan,Baseball,Mens,589157
2009,Manhattan,Baseball,Mens,542409
2008,Manhattan,Baseball,Mens,514190
2007,Manhattan,Baseball,Mens,478360
2006,Manhattan,Baseball,Mens,470737
2005,Manhattan,Baseball,Mens,382446
2017,Manhattan,Basketball,Mens,2286578
2016,Manhattan,Basketball,Mens,2337236
2015,Manhattan,Basketball,Mens,2097510
2014,Manhattan,Basketball,Mens,1995054
2013,Manhattan,Basketball,Mens,1915283
2012,Manhattan,Basketball,Mens,1746018
2011,Manhattan,Basketball,Mens,1614245
2010,Manhattan,Basketball,Mens,1824564
2009,Manhattan,Basketball,Mens,1358614
2008,Manhattan,Basketball,Mens,1262772
2007,Manhattan,Basketball,Mens,1307897
2006,Manhattan,Basketball,Mens,1094191
2005,Manhattan,Basketball,Mens,1089137
2017,Manhattan,Basketball,Womens,1752307
2016,Manhattan,Basketball,Womens,1559495
2015,Manhattan,Basketball,Womens,1660270
2014,Manhattan,Basketball,Womens,1434446
2013,Manhattan,Basketball,Womens,1351208
2012,Manhattan,Basketball,Womens,1326219
2011,Manhattan,Basketball,Womens,1173931
2010,Manhattan,Basketball,Womens,1144868
2009,Manhattan,Basketball,Womens,1046448
2008,Manhattan,Basketball,Womens,923268
2007,Manhattan,Basketball,Womens,910647
2006,Manhattan,Basketball,Womens,894034
2005,Manhattan,Basketball,Womens,794167
2017,Manhattan,Golf,Mens,139206
2016,Manhattan,Golf,Mens,128292
2015,Manhattan,Golf,Mens,117275
2014,Manhattan,Golf,Mens,102642
2013,Manhattan,Golf,Mens,101367
2012,Manhattan,Golf,Mens,155464
2011,Manhattan,Golf,Mens,101184
2010,Manhattan,Golf,Mens,121246
2009,Manhattan,Golf,Mens,86426
2008,Manhattan,Golf,Mens,75024
2007,Manhattan,Golf,Mens,77198
2006,Manhattan,Golf,Mens,53676
2005,Manhattan,Golf,Mens,52117
2017,Manhattan,Swim,Womens,207776
2016,Manhattan,Swim,Womens,198983
2015,Manhattan,Swim,Womens,227831
2014,Manhattan,Swim,Womens,195260
2013,Manhattan,Swim,Womens,182184
2012,Manhattan,Swim,Womens,156207
2011,Manhattan,Swim,Womens,161995
2010,Manhattan,Swim,Womens,143479
2009,Manhattan,Swim,Womens,137881
2008,Manhattan,Swim,Womens,119027
2007,Manhattan,Swim,Womens,118719
2006,Manhattan,Swim,Womens,80315
2005,Manhattan,Swim,Womens,68088
2017,Manhattan,Lacrosse,Mens,970387
2016,Manhattan,Lacrosse,Mens,851377
2015,Manhattan,Lacrosse,Mens,745909
2014,Manhattan,Lacrosse,Mens,643442
2013,Manhattan,Lacrosse,Mens,579656
2012,Manhattan,Lacrosse,Mens,530353
2011,Manhattan,Lacrosse,Mens,525466
2010,Manhattan,Lacrosse,Mens,497524
2009,Manhattan,Lacrosse,Mens,518326
2008,Manhattan,Lacrosse,Mens,318968
2007,Manhattan,Lacrosse,Mens,320894
2006,Manhattan,Lacrosse,Mens,250227
2005,Manhattan,Lacrosse,Mens,251894
2017,Manhattan,Lacrosse,Womens,847365
2016,Manhattan,Lacrosse,Womens,731450
2015,Manhattan,Lacrosse,Womens,613080
2014,Manhattan,Lacrosse,Womens,550600
2013,Manhattan,Lacrosse,Womens,417717
2012,Manhattan,Lacrosse,Womens,353343
2011,Manhattan,Lacrosse,Womens,305654
2010,Manhattan,Lacrosse,Womens,285724
2009,Manhattan,Lacrosse,Womens,272657
2008,Manhattan,Lacrosse,Womens,177217
2007,Manhattan,Lacrosse,Womens,160865
2006,Manhattan,Lacrosse,Womens,151624
2005,Manhattan,Lacrosse,Womens,163242
2017,Manhattan,Soccer,Mens,719073
2016,Manhattan,Soccer,Mens,744897
2015,Manhattan,Soccer,Mens,581783
2014,Manhattan,Soccer,Mens,534460
2013,Manhattan,Soccer,Mens,483982
2012,Manhattan,Soccer,Mens,382817
2011,Manhattan,Soccer,Mens,358182
2010,Manhattan,Soccer,Mens,344715
2009,Manhattan,Soccer,Mens,323579
2008,Manhattan,Soccer,Mens,333331
2007,Manhattan,Soccer,Mens,293060
2006,Manhattan,Soccer,Mens,261541
2005,Manhattan,Soccer,Mens,226134
2017,Manhattan,Soccer,Womens,685727
2016,Manhattan,Soccer,Womens,588015
2015,Manhattan,Soccer,Womens,546367
2014,Manhattan,Soccer,Womens,494899
2013,Manhattan,Soccer,Womens,450196
2012,Manhattan,Soccer,Womens,372152
2011,Manhattan,Soccer,Womens,343141
2010,Manhattan,Soccer,Womens,298417
2009,Manhattan,Soccer,Womens,320117
2008,Manhattan,Soccer,Womens,288451
2007,Manhattan,Soccer,Womens,278440
2006,Manhattan,Soccer,Womens,269356
2005,Manhattan,Soccer,Womens,210885
2017,Manhattan,Softball,Womens,783665
2016,Manhattan,Softball,Womens,627294
2015,Manhattan,Softball,Womens,610311
2014,Manhattan,Softball,Womens,508342
2013,Manhattan,Softball,Womens,421546
2012,Manhattan,Softball,Womens,408242
2011,Manhattan,Softball,Womens,375367
2010,Manhattan,Softball,Womens,438856
2009,Manhattan,Softball,Womens,418727
2008,Manhattan,Softball,Womens,348543
2007,Manhattan,Softball,Womens,213657
2006,Manhattan,Softball,Womens,230519
2005,Manhattan,Softball,Womens,182556
2017,Manhattan,Volleyball,Womens,577986
2016,Manhattan,Volleyball,Womens,649690
2015,Manhattan,Volleyball,Womens,637274
2014,Manhattan,Volleyball,Womens,571615
2013,Manhattan,Volleyball,Womens,591647
2012,Manhattan,Volleyball,Womens,513002
2011,Manhattan,Volleyball,Womens,414314
2010,Manhattan,Volleyball,Womens,310383
2009,Manhattan,Volleyball,Womens,270947
2008,Manhattan,Volleyball,Womens,244790
2007,Manhattan,Volleyball,Womens,201500
2006,Manhattan,Volleyball,Womens,212268
2005,Manhattan,Volleyball,Womens,198686
2017,Canisius,Baseball,Mens,688376
2016,Canisius,Baseball,Mens,732702
2015,Canisius,Baseball,Mens,663862
2014,Canisius,Baseball,Mens,710265
2013,Canisius,Baseball,Mens,648807
2012,Canisius,Baseball,Mens,628900
2011,Canisius,Baseball,Mens,593420
2010,Canisius,Baseball,Mens,542316
2009,Canisius,Baseball,Mens,539236
2008,Canisius,Baseball,Mens,432358
2007,Canisius,Baseball,Mens,389603
2006,Canisius,Baseball,Mens,325780
2005,Canisius,Baseball,Mens,243444
2017,Canisius,Basketball,Mens,1791284
2016,Canisius,Basketball,Mens,1673040
2015,Canisius,Basketball,Mens,2027506
2014,Canisius,Basketball,Mens,2050411
